Unnamed: 0,Date,Text,Sentiments
0,2021-04-27,"General Electric's cash outflow was smaller than estimated in the first quarter even as its lucrative jet-engine business struggled with the pandemic-led collapse of air travel, driving down company revenue.",-1
1,2021-04-27,"General Electric reported a 20% fall in quarterly profit, hit by a slump in demand for aircraft engines as airlines struggle to recover from a pandemic-led collapse in travel.",-1
2,2021-04-26,General Electric Co's turnaround plans looked dead in the water to many last spring when its lucrative jet engine business became another victim of the coronavirus pandemic as global air travel dried up.,-1
3,2021-04-16,The U.S. Court of Appeals for the Federal Circuit on Friday reversed a win for General Electric Co before the Patent Trial and Appeal Board that had invalidated parts of a Raytheon Technologies Corp patent covering an airplane engine.,-1
4,2021-04-05,"Billionaire activist investor Carl Icahn's investment firm on Monday named General Electric Co veteran and a former dealmaker, Aris Kekedjian, as its president and chief executive officer.",0
5,2021-04-04,"Former General Electric Co executive Aris Kekedjian will be named chief executive officer of Icahn Enterprises LP, activist investor Carl Icahn told the Wall Street Journal.",0
6,2021-03-16,Global commodities trader and food processor Cargill Ltd on Tuesday named former General Electric executive Jamie Miller as its chief financial officer.,1
7,2021-03-11,"Rolls-Royce said on Thursday it had extended an exclusive deal to provide engines for the Airbus A350-900 to 2030, cementing its alliance with the European plane maker and deferring a potential challenge from rival General Electric.",1
8,2021-03-10,"Lawyers at Paul, Weiss, Rifkind, Wharton & Garrison have been working double time on high-value transactions as companies make up for last year's coronavirus-crimped deal pipeline.",-1
9,2021-03-10,When Irishman Aengus Kelly got his first job in aircraft leasing in 1996 it was with a firm so down on its luck the American giant General Electric had an option to buy it for one dollar.,-1
10,2021-03-10,The world's two largest aircraft leasing companies are combining to create a new financing giant after Ireland's AerCap finalised a deal worth more than $30 billion to buy the leasing business of General Electric.,0
11,2021-03-10,General Electric Co on Wednesday reiterated its 2021 forecast and announced a deal to sell its aircraft-leasing business to Ireland's AerCap Holdings NV as part of efforts to pare its debt.,-1
12,2021-03-10,"General Electric Co will ""over time"" sell its stake in a new financing giant, which will be set up following the merger of its aircraft-leasing business with Ireland's AerCap Holdings NV, the company's chief executive told Reuters.",0
13,2021-03-07,"Aircraft leasing is poised for its biggest shake-up in almost a decade as its top two players, AerCap Holdings and General Electric Co's GECAS, discuss a deal to forge an industry titan with more than 2,000 jets, people familiar with the matter said on Monday.",1
14,2021-03-10,General Electric Co on Wednesday reiterated its forecast to generate $2.5 billion to $4.5 billion in free cash flow this year. (Reporting by Rajesh Kumar Singh; editing by John Stonestreet),0
15,2021-03-10,General Electric Co said on Wednesday Ireland's AerCap Holdings NV would acquire its aircraft-leasing business in a deal that will help reduce the company's debt by $30 billion.,1
16,2021-03-08,A tie-up between leasing giants AerCap and General Electric unit GECAS would reshape global air finance and reunite entities torn apart in one of Ireland's most spectacular corporate collapses three decades ago.,0
17,2021-03-09,Ireland's AerCap Holdings NV on Tuesday confirmed ongoing discussions with General Electric Co to acquire its aircraft-leasing business.,1
18,2021-03-09,Ireland's AerCap Holdings NV on Tuesday confirmed ongoing discussions with General Electric Co to acquire its aircraft-leasing business.,1
19,2021-03-09,A tie-up between leasing giants AerCap and General Electric unit GECAS would reshape global air finance and carve out a new chapter in one of Ireland's greatest corporate adventures.,1
20,2021-03-05,"While the gyrations of so-called meme stocks have taken the spotlight, less trendy General Electric has been outperforming the market on bets a corporate turnaround and broader economic recovery will boost the manufacturing giant.",-1
21,2021-02-26,"A Rossiya Airlines Boeing 777 cargo plane made an emergency landing at Moscow's Sheremetyevo airport on Friday due to a problem with an engine control sensor, the airline said.",-1
22,2021-02-16,"General Electric Co expects a cash outflow in the first quarter of 2021 despite a year-on-year increase in cash generation, Chief Executive Officer Larry Culp said at a Barclays Industrial Conference on Tuesday.",-1
23,2021-02-03,The 2nd U.S. Circuit Court of Appeals in New York said on Wednesday that it would not revive a shareholder lawsuit accusing General Electric of hiding a serious defect in its flagship gas turbine in 2018.,0
24,2021-02-02,Siemens Energy has received a lawsuit filed by rival General Electric accusing a unit of the German firm of using stolen trade secrets to rig bids for gas turbine contracts and cover up improper business gains of more than $1 billion.,-1
25,2021-01-29,A U.S. judge in Manhattan has dismissed most but not all of a shareholder lawsuit accusing General Electric Co of concealing billions of dollars of insurance liabilities and using questionable accounting to prop up its power business.,-1
26,2021-01-26,"General Electric Co on Tuesday offered an upbeat outlook for its business this year after reporting a surge in quarterly free cash flow, showing Chief Executive Larry Culp's turnaround plan is gaining traction.",1
27,2021-01-26,"General Electric Co reported a better-than-expected free cash flow for the fourth quarter on Tuesday and forecast 2021 cash flow to be about $2.5 billion to $4.5 billion, as it benefits from a recovery at its power and renewable energy units.",1
28,2021-01-21,An attorney for General Electric Co shareholders asked the 2nd U.S. Circuit Court of Appeals on Thursday to revive a proposed class action lawsuit alleging the company hid a serious defect in its flagship gas turbine in 2018.,0
29,2021-01-14,"General Electric Co accused a Siemens Energy AG subsidiary of using stolen trade secrets to rig bids for lucrative contracts supplying gas turbines to public utilities, and cover up improper business gains totaling more than $1 billion, according to a lawsuit filed on Thursday...",-1
30,2020-12-09,"General Electric Co has agreed to pay a $200 million penalty to settle charges for misleading investors over how it was generating earnings in its power and insurance businesses, the U.S. Securities and Exchange Commission said on Wednesday.",-1
31,2020-12-08,"General Electric Co said on Tuesday it pre-funded pension plans and repaid some amount of an intercompany loan, actions that will help the industrial conglomerate cut its debt by about $14.5 billion this year.",-1
32,2020-12-02,"Vineyard Wind, which is developing the first major U.S. offshore wind farm, has temporarily withdrawn the project from the federal permitting process so the company can incorporate turbines from a new supplier, General Electric Co, in its design.",0
33,2020-12-02,Vineyard Wind selected General Electric Co as its preferred wind turbine supplier for the Vineyard Wind 1 project off the coast of Martha's Vineyard in Massachusetts.,0
34,2020-11-24,"General Electric Co on Tuesday warned of more job cuts at its aviation unit, citing a lengthy recovery for the airline industry from the impact of the coronavirus crisis.",-1
35,2020-11-24,"General Electric Co warned employees of more job cuts at its aviation unit as the COVID-19 pandemic continues to impact commercial air travel, the Wall Street Journal reported on Tuesday, citing an internal video message. (Reporting by Rachit Vats in Bengaluru; Editing by...",0
36,2020-11-21,"General Electric Co. and a Vietnamese company on Saturday signed a memorandum of understanding to develop a liquified natural gas power plant, according to GE and a senior Trump administration official.",0
37,2020-11-21,"General Electric Co. and a Vietnamese company on Saturday signed a memorandum of understanding to develop a liquified natural gas power plant, according to GE and a senior Trump administration official.",0
38,2020-10-30,"Sales at Safran <SAF.PA> fell 44.5% in the third quarter to 3.382 billion euros ($4 billion) from a year ago but steadied compared to the previous quarter, prompting the French aerospace group to reaffirm full-year forecasts despite new coronavirus lockdowns.",-1
39,2020-10-28,"General Electric Co <GE.N> on Wednesday unexpectedly reported a quarterly profit and a positive cash flow on the back of cost cuts and improvements in its power and renewable energy businesses, sending its shares 10% higher.",-1
40,2020-10-28,"General Electric Co reported a smaller quarterly loss and positive cash flow on Wednesday, as the company cuts costs in its aviation and power units.",-1
41,2020-10-27,A Delaware court on Tuesday threw out most of the claims brought by Baker Hughes Co shareholders asserting they were not given complete financial information about the oilfield service provider's 2017 merger with General Electric's oil and gas segment.,-1
42,2020-10-15,The Sudanese government signed a memorandum of understanding with General Electric <GE.N> on Thursday aimed at increasing power generation by up to 470 megawatts (MW) as Sudan struggles to emerge from an economic crisis and long economic isolation.,1
43,2020-10-06,"General Electric said on Tuesday it has received a notice from U.S. Securities and Exchange Commission staff, warning that the company could face a civil action for possible violations of securities laws related to accounting practices for some of its insurance holdings.",0
44,2020-10-06,"General Electric Co has been issued a Wells notice by the U.S. Securities and Exchange Commission (SEC) staff, the industrial conglomerate said in a regulatory filing on Tuesday. (https://bit.ly/3iF3XGC) (Reporting by Ankit Ajmera in Bengaluru; Editing by Shailesh Kuber)",0
45,2020-09-30,"Russian state energy holding InterRAO <IRAO.MM> plans to invest up to 45 billion roubles ($580 million) in its gas turbines joint venture with General Electric <GE.N>, Alexey Maslov, its head of strategy, said on Wednesday.",1
46,2020-09-28,"General Electric Co <GE.N> said on Monday its GE9X engine for Boeing Co's <BA.N> 777X passenger jet has been certified by the U.S. aviation safety regulator, clearing a hurdle in the planemaker's path to bring its new jet to the market.",-1
47,2020-09-25,"In 2006, Breakingviews criticised General Electric for its sprawl. We argued that “spinning off NBC to shareholders would make GE a more focused industrial company”, bring in some $35 billion of cash and aid Chief Executive Jeff Immelt’s desire to bolster the group’s finances...",0
48,2020-09-21,"General Electric Co <GE.N> said on Monday it plans to stop making coal-fired power plants, as the U.S. industrial conglomerate focuses more on renewable sources of power generation.",-1
49,2020-09-21,"General Electric Co said on Monday it plans to stop making new coal-fired power plants, as the U.S. industrial conglomerate focuses more on renewable sources of power generation.",-1
50,2020-09-16,General Electric Co's <GE.N> shares surged on Wednesday after Chief Executive Officer Larry Culp said the industrial conglomerate's free cash flow would turn positive in the second half of this year.,-1
51,2020-09-16,"General Electric Co expects to report positive free cash flow in the second half of 2020, Chief Executive Officer Larry Culp said at a Morgan Stanley Laguna Conference on Wednesday.",1
52,2020-09-10,"French Finance Minister Bruno Le Maire said on Thursday he will call Lawrence Culp, the head of General Electric <GE.N>, in a bid to save jobs at the Belfort factory in eastern France.",-1
53,2020-08-31,"General Electric Co <GE.N> shares are now worth less than $5 each, analysts from J.P. Morgan said on Monday, valuing the U.S. conglomerate at less than $44 billion and predicting it is yet to reach a turning point in efforts to reboot its businesses.",1
54,2020-08-21,** U.S. industrial conglomerate General Electric Co extends CEO Larry Culp's contract by two years amid his efforts to turnaround the co and lower its huge debt,-1
55,2020-08-20,General Electric Co <GE.N> said it has extended the employment agreement of Chief Executive Officer Lawrence Culp through August 2024.,0
56,2020-08-19,"General Electric Co <GE.N> said it had signed two new agreements valued at over $1.2 billion with the Iraqi Ministry of Electricity, to undertake maintenance programs across key power plants in the country and bolster its transmission network.",1
57,2020-07-29,"General Electric Co <GE.N> saw less cash outflow than estimated in the second quarter, even as the coronavirus pandemic pummeled demand in its aviation business, resulting in a wider-than-expected quarterly loss.",-1
58,2020-07-29,"Agricultural commodities trader Bunge Ltd on Wednesday raised its full-year outlook after its second-quarter profit handily beat Wall Street estimates, bolstered by oilseed crushing and robust crop exports to China.",-1
59,2020-07-29,* GENERAL ELECTRIC CO SAYS SAW SIGNS OF IMPROVEMENT IN BUSINESS IN JUNE AND JULY- CONF. CALL,0
60,2020-07-29,"General Electric Co reported $2.18 billion in quarterly losses on Wednesday, hurt by weakness in its aviation and power units due to the COVID-19 pandemic, but its free cash outflow came in better than expected.",-1
61,2020-07-28,The collapse of global air travel has stopped General Electric Co's <GE.N> turnaround plan in its tracks and the company will have to convince investors on Wednesday that it is on course to reduce cash burn through the rest of 2020.,-1
62,2020-07-21,"German utility Uniper <UN01.DE> will work out a plan to decarbonise its European gas-fired power plants by early 2021 in a cooperation with General Electric <GE.N>, it said on Tuesday.",-1
63,2020-06-23,"* GE HEALTHCARE LAUNCHES NEW AI SUITE TO DETECT CHEST X-RAY ABNORMALITIES, INCLUDING PNEUMONIA CAUSED BY COVID-19 & TUBERCULOSIS",-1
64,2020-06-22,"* GE - KPMG WILL CONTINUE IN CAPACITY THROUGH COMPLETION OF AUDIT SERVICES FOR FISCAL YEAR ENDING DEC 31, 2020 Source text for Eikon: Further company coverage:",0
65,2020-06-18,Russia's state nuclear company Rosatom said on Thursday it had signed a memoranda of understanding with France's Framatome and GE Steam Power to work together to participate in a tender to build the Belene Nuclear Power Plant (NPP) in Bulgaria.,1
66,2020-06-15,"General Electric Co <GE.N> on Monday tapped the planemaking head of Brazil's Embraer <EMBR3.SA> to run its key aircraft engines division on Monday, as the global aviation industry grapples with disruption caused by the COVID-19 pandemic.",-1
67,2020-06-15,* DAVID JOYCE TO RETIRE FROM GE; JOHN SLATTERY TO BECOME PRESIDENT AND CEO OF GE AVIATION,0
68,2020-06-10,* GE SAYS IT FILES PROSPECTUS SUPPLEMENT RELATED TO OFFERING OF $1.5 BILLION 4.350% NOTES DUE 2050 - SEC FILING Source text: (https://bit.ly/2AdPXnl) Further company coverage:,0
69,2020-06-08,General Electric Co <GE.N> said on Monday it reopened portions of its prior debt offerings for $3 billion in total proceeds to boost its cash reserves amid the coronavirus crisis.,-1
70,2020-06-08,* GE REOPENS PRIOR DEBT OFFERINGS FOR $3 BILLION IN PROCEEDS TO ENHANCE AND EXTEND LIQUIDITY,0
71,2020-06-08,* GE - ANNOUNCED A THIRD ORDER FOR ITS GT26 HE GAS TURBINE UPGRADE WITH JAPANESE POWER PRODUCER JFE STEEL CORP AT ITS CHIBA POWER PLANT IN JAPAN Source text for Eikon: Further company coverage:,0
72,2020-06-08,* GE - FILES PRELIMINARY PROSPECTUS SUPPLEMNT FOR DOLLAR-DENOMINATED 4.350% NOTES OFFERING DUE 2050 - SEC FILING Source text: (https://bit.ly/2Ump07H) Further company coverage:,0
73,2020-06-03,"U.S. industrial conglomerate 3M Co <MMM.N> on Wednesday appointed General Electric Co <GE.N> executive Monish Patolawala as the company's chief financial officer, effective July 1.",0
74,2020-06-03,"U.S. industrial conglomerate 3M Co on Wednesday appointed General Electric Co executive Monish Patolawala as the company's chief financial officer, effective July 1.",1
75,2020-05-28,"General Electric <GE.N> expects to burn more cash than expected in the second quarter, as the industrial conglomerate struggles with weakness in its aviation business due to the coronavirus crisis, Chief Executive Officer Larry Culp said on Thursday.",-1
76,2020-05-28,* GE CEO SAYS SEES Q2 FREE CASH FLOW BETWEEN NEGATIVE $3.5 BILLION AND $4.5 BILLION - BERNSTEIN CONF,1
77,2020-05-28,General Electric Co on Thursday warned 2020 free cash flow would be negative as it struggles with weakness in its aviation and power units due to the coronavirus outbreak.,-1
78,2020-05-26,"The U.S. Supreme Court on Tuesday declined to weigh in on what sort of competitive injury creates standing to appeal determinations by the U.S. Patent and Trademark Office's Patent Trial and Appeal Board, dealing a loss to General Electric Co.",-1
79,2020-05-22,A federal appeals court on Friday upheld the dismissal of lawsuits by U.S. servicemembers seeking to hold Tokyo Electric Power Co and General Electric Co liable for their exposure to radiation from the 2011 Fukushima nuclear power plant disaster.,-1
80,2020-05-22,* TRIAN FUND MANAGEMENT REPORTS OPEN MARKET SALE OF 4.9 MILLION SHARES OF GE'S COMMON STOCK AT AVERAGE PRICE OF $6.46PER SHARE ON MAY 21 - SEC FILING Source text: (https://bit.ly/36nUbUL) Further company coverage:,0
81,2020-05-15,* GE ANNOUNCES EXPIRATION AND RESULTS OF ITS DEBT TENDER OFFERS IN CONJUNCTION WITH GE CAPITAL DEBT ISSUANCE,0
82,2020-05-11,"* GE - AT ANNUAL MEETING, SHAREHOLDERS DID NOT APPROVE SHAREHOLDER PROPOSAL FOR APPOINTMENT OF INDEPENDENT CHAIRMAN OF BOARD",0
83,2020-05-07,"* GE - ON MAY 6, GE CAPITAL PRICED $1.35 BILLION OF 3.450% NOTES DUE 2025",1
84,2020-05-04,"General Electric Co <GE.N> said on Monday it was planning to cut the global workforce of its aviation unit this year by as much as 25%, or up to 13,000 jobs, including both voluntary and involuntary layoffs, citing prolonged aircraft reduction schedules caused by the coronavirus...",-1
85,2020-05-04,"General Electric Co said on Monday it was planning to cut its global workforce in the aviation unit by as much as 25% this year, including both voluntary and involuntary layoffs, due to business disruptions caused by the COVID-19 pandemic.",-1
86,2020-04-29,"General Electric Co <GE.N> said on Wednesday the coronavirus pandemic dealt a $1 billion blow to cash flow at its industrial business in the first quarter, while total revenue fell almost 8% and the company warned the damage would worsen in the next three months.",-1
87,2020-04-29,"General Electric Co <GE.N> said on Wednesday it had cut 700 jobs in its power division in the first quarter, and that it was on track to reduce capital expenditure by 25% this year.",-1
88,2020-04-29,"General Electric Co said on Wednesday it had cut 700 jobs in its power division in the first quarter, and that it was on track to reduce capital expenditure by 25% this year.",-1
89,2020-04-29,"* GE - QTRLY INDUSTRIAL ORGANIC REVENUE $18.9 BILLION, DOWN 5%",-1
90,2020-04-29,"General Electric Co reported a 7.6% drop in first-quarter revenue, hurt by weakness in its aviation and power units due to the coronavirus pandemic, and fell short of its own free cash flow targets for the quarter.",-1
91,2020-04-27,Quarantines and lockdowns at large U.S. power plants are threatening to squeeze a multibillion-dollar slice of revenue that General Electric Co is counting on to help lift profits.,-1
92,2020-04-24,"A federal appeals court on Friday affirmed a lower court ruling that had dismissed a proposed class action against General Electric Co by Japanese homeowners and businesses affected by the 2011 Fukushima nuclear disaster, ruling that Japan is a better forum for the lawsuit.",-1
93,2020-04-22,* GE - GE RENEWABLE ENERGY SECURES 10-YEAR SERVICE AGREEMENT WITH IDAHO WIND PARTNERS,0
94,2020-04-21,* GE - GE ANNOUNCES EXPIRATION AND RESULTS OF ITS DEBT TENDER OFFERS,-1
95,2020-04-20,"General Electric Co <GE.N> entered into a revolving credit agreement for $15 billion, according to a regulatory filing on Monday.",-1
96,2020-04-20,* GE - ON APRIL 17 ENTERED INTO SENIOR UNSECURED BACK-UP REVOLVING SYNDICATED CREDIT FACILITY AT COMMITMENT AMOUNT OF $15 BILLION,1
97,2020-04-14,* GE TO HOLD VIRTUAL 2020 ANNUAL MEETING OF SHAREHOLDERS Source text for Eikon: Further company coverage:,0
98,2020-04-13,General Electric Co <GE.N> offered on Monday to buy back at least $9 billion in debt as part of a plan to cut its financial risk and manage liquidity in response to the downturn in business caused by the coronavirus pandemic.,-1
99,2020-04-13,* GE - LAUNCHING A STRATEGIC DEBT ISSUANCE TO FUND AN IMMEDIATE TENDER FOR GE BONDS MATURING THROUGH 2024,0
100,2020-04-13,General Electric Co said on Monday it used part of the $20 billion in proceeds from the sale of its biopharma business to cut debt.,-1
101,2020-04-13,* GE - GLOBAL COVID-19 PANDEMIC IS HAVING A MATERIAL ADVERSE IMPACT ON OUR OPERATIONS AND FINANCIAL PERFORMANCE,-1
102,2020-04-13,"* GE FILES FOR FOUR-PART, NOTES OFFERING; SIZE NOT DISCLOSED - SEC FILING Source text for Eikon: [ID:https://bit.ly/2y7aKaK] Further company coverage:",0
103,2020-04-10,"* S&P - CHANGES GENERAL ELECTRIC CO. OUTLOOK TO NEGATIVE ON UNCLEAR AVIATION RECOVERY, POSSIBLE DELEVERAGING DELAY; RATINGS AFFIRMED",0
104,2020-04-09,"General Electric Co <GE.N> pulled its full-year forecast on Thursday due to the uncertainties created by the coronavirus outbreak, but backed its first-quarter industrial free cash flow expectation of near negative $2 billion.",-1
105,2020-04-09,"General Electric Co withdrew its full year forecast on Thursday and said first-quarter adjusted earnings would be materially below its prior expectations of about 10 cents per share, hurt by the COVID-19 pandemic. (Reporting by Ankit Ajmera in Bengaluru; Editing by Amy Caren...",-1
106,2020-04-07,"The Trump administration on Tuesday granted a license to General Electric Co <GE.N> to supply engines for China's new COMAC C919 passenger jet, a spokeswoman for the company said.",-1
107,2020-04-02,"General Electric Co <GE.N> said on Thursday it would furlough about half its workers in the U.S. engine assembly and component manufacturing operations, a move that would affect thousands of employees, as the coronavirus pandemic hurts travel demand.",-1
108,2020-04-02,General Electric Co said on Thursday it would temporarily lay off about half of its workers in U.S. engine assembly and component manufacturing operations.,-1
109,2020-04-02,* GE - GE AVIATION IS IMPLEMENTING A TEMPORARY REDUCTION IN COMMERCIAL ENGINE ASSEMBLY AND SOME COMPONENT MANUFACTURING OPERATIONS FOR UP TO FOUR WEEKS Further company coverage:,-1
110,2020-04-01,"General Electric Co is asking its lenders to replace US$20bn in revolving loans with a new debt package that will come with a smaller size and shorter maturities, sources said.",-1
111,2020-03-31,* DANAHER COMPLETES ACQUISITION OF THE BIOPHARMA BUSINESS OF GENERAL ELECTRIC LIFE SCIENCES; BUSINESS WILL BE CALLED CYTIVA Source text for Eikon: Further company coverage:,0
112,2020-03-25,* SAYS IT WILL PROVIDE RUBBER SEALING PRODUCTS FOR GENERAL ELECTRIC CO'S VENTILATOR PROJECT Source text in Chinese: https://bit.ly/2QEuFnN Further company coverage: (Reporting by Hong Kong newsroom),0
113,2020-03-23,"General Electric Co's <GE.N> aviation unit will cut its U.S. workforce by about 10%, Chief Executive Officer Larry Culp said in a letter to staff on Monday, as a shattered airline industry sought state support to survive the coronavirus crisis.",-1
114,2020-03-23,* GE - GE AVIATION IS PLANNING TO REDUCE APPROXIMATELY 10% OF ITS TOTAL U.S. WORKFORCE,-1
115,2020-03-23,"General Electric Co's aviation unit plans to cut its total U.S. workforce by about 10%, Chief Executive Officer Larry Culp said on Monday, as airlines delay purchases amid the coronavirus pandemic.",-1
116,2020-03-19,"Danaher Corp has won U.S. antitrust approval to buy General Electric's biopharmaceutical business, GE Biopharma, for $21.4 billion on condition it sell some assets, the Federal Trade Commission said on Thursday.",0
117,2020-03-19,* DANAHER RECEIVES CLEARANCE FROM U.S. FEDERAL TRADE COMMISSION FOR THE ACQUISITION OF THE BIOPHARMA BUSINESS OF GENERAL ELECTRIC LIFE SCIENCES Source text for Eikon: Further company coverage:,0
118,2020-03-19,"Danaher Corp has won U.S. antitrust approval to buy General Electric's biopharmaceutical business, GE Biopharma, for $21.4 billion on condition it sell some assets, the Federal Trade Commission said on Thursday.",0
119,2020-03-12,* GE SAYS CHAIRMAN & CEO LARRY CULP'S 2019 TOTAL COMPENSATION WAS $24.6 MILLION - SEC FILING,0
120,2020-03-04,"General Electric Co predicted on Wednesday that the coronavirus would wipe out a substantial chunk of industrial free cash flow in the first quarter, but stuck to full-year financial targets the company set in January.",-1
121,2020-03-04,"General Electric Co <GE.N> predicted on Wednesday that the coronavirus would wipe out a substantial chunk of industrial free cash flow in the first quarter, but stuck to full-year financial targets the company set in January.GE predicted that the outbreak would erase $300...",-1
122,2020-03-04,General Electric Co on Wednesday reiterated its 2020 cash and profit targets but warned its first-quarter cash flow would take a hit of $300 million to $500 million due to the coronavirus outbreak.,-1
123,2020-03-04,"General Electric Co said on Wednesday that it expects a hit of $300 million to $500 million to its first-quarter cash flow from the coronavirus outbreak, while reaffirming its cash and profit targets for the full year.",-1
124,2020-03-04,"* REAFFIRMED 2020 GE INDUSTRIAL REVENUES, ADJUSTED GE INDUSTRIAL PROFIT MARGIN, ADJUSTED EARNINGS PER SHARE AND GE INDUSTRIAL FREE CASH FLOW",-1
125,2020-03-04,"* GE - WILL NOMINATE FORMER U.S. SECRETARY OF DEFENSE ASHTON CARTER TO GE BOARD, FOR ELECTION AT ANNUAL MEETING OF SHAREHOLDERS ON MAY 5 Source text for Eikon: Further company coverage:",0
126,2020-03-02,"Jack Welch, who upended the business world in the 1980s and 1990s by transforming General Electric Co <GE.N> from a stolid maker of light bulbs and washing machines into the most valuable U.S. public company, has died at 84, GE said on Monday.",0
127,2020-03-02,"Jack Welch, the legendary CEO who led General Electric Co <GE.N> for two decades to create the most valuable public company in the United States, died at the age of 84.",0
128,2020-03-02,"Jack Welch, one of the most influential business leaders who led General Electric Co for two decades, has died at the age of 84.",0
129,2020-03-02,"Jack Welch, who upended the business world in the 1980s and 1990s by transforming General Electric Co from a stolid maker of light bulbs and washing machines into the most valuable U.S. public company, has died at 84, GE said on Monday.",0
130,2020-03-02,"Jack Welch, the legendary CEO who led General Electric Co for two decades to create the most valuable public company in the United States, died at the age of 84.",0
131,2020-03-02,"Jack Welch, one of the most influential business leaders and former chief executive officer of General Electric Co <GE.N>, has died at the age of 84.",0
132,2020-03-02,"Jack Welch, one of the most influential business leaders who led General Electric Co for two decades, has died at the age of 84.",0
133,2020-03-02,"Jack Welch, the legendary CEO who led General Electric Co for two decades to create the most valuable public company in the United States, died at the age of 84.",0
134,2020-03-02,"General Electric Co's former chief executive officer Jack Welch, who led the industrial conglomerate for two decades, has died, CNBC reported https://www.cnbc.com/2020/03/02/jack-welch-obit-ge.html on Monday. (Reporting by Rachit Vats in Bengaluru; Editing by Arun Koyyur)",0
135,2020-02-24,"* GE SAYS AT YEAR-END 2019, CO, CONSOLIDATED AFFILIATES EMPLOYED ABOUT 205,000 PEOPLE, OF WHOM ABOUT 70,000 WERE EMPLOYED IN THE U.S. - SEC FILING",0
136,2020-02-20,"* GE - JAMIE MILLER WILL REMAIN EMPLOYED WITH COMPANY UNTIL SEPTEMBER 30, 2020, OR SUCH EARLIER DATE AS AGREED",0
137,2020-02-15,"The U.S. government is considering whether to stop General Electric Co from continuing to supply engines for a new Chinese passenger jet, according to people familiar with the matter, casting uncertainty over China's efforts to enter the civil aviation market.",-1
138,2020-02-15,"The U.S. government is considering whether to stop General Electric Co from continuing to supply engines for a new Chinese passenger jet, according to people familiar with the matter, casting uncertainty over China's efforts to enter the civil aviation market.",-1
139,2020-02-03,South Korea's antitrust watchdog has approved Danaher Corp's <DHR.N> proposed $21.4 billion acquisition of General Electric's <GE.N> biopharma division on condition that they sell certain assets to address monopoly concerns.,0
140,2020-01-29,"The S&P 500 ended slightly lower on Wednesday, as an initial boost from the likes of Apple Inc, Boeing Co and General Electric Co following their quarterly results faded in the wake of the policy announcement from the Federal Reserve.",-1
141,2020-01-29,"General Electric Co <GE.N> sold more investors on its turnaround story on Wednesday, sending shares 10% higher on its quarterly profit and cash results that beat forecasts, and its bullish cash target for 2020.",-1
142,2020-01-29,"General Electric Co on Wednesday reported a 30% jump in quarterly profit, boosted by its aviation business, but forecast 2020 profit below estimates.",-1
143,2020-01-21,"General Electric Co has received a license from the U.S. Treasury Department to help in the investigation of a Ukrainian passenger plane accidentally shot down by Iranian forces, a GE spokesman told Reuters on Tuesday.",0
